ID_Auditoria,Fecha,Linea,Estacion,Direccion_Anomalia,Impacto_Pasajeros,Afluencia,Estatus_Investigacion,Hallazgo_Principal,Descripcion_Incidente,Link_Fuente_1,Link_Fuente_2,Observaciones
ANOM-4,2022-01-02 0:00:00,linea 8,constitución de 1917,Alza (Pico atípico),42277,58987,Terminado,Feriado No Oficial / Cultural,Afluencia a la alza dado eventos de temporada de inicio de año e inicio de recuperación de periodo postpandemia,,,se registró a la alza por que el transporte público comenzaba a operar y a recuperarse tras los niveles bajos de la pandemia aunque las autoridades aún no decretaban oficialmente el final de la emergencia sanitaria
ANOM-38,2022-05-01 0:00:00,linea 7,polanco,Alza (Pico atípico),21394,7346,Terminado,Feriado No Oficial / Cultural,"Día del trabajo y domingo coincidieron, además de manifestaciones en diferentes puntos de la ciudad",https://www.eluniversal.com.mx/tendencias/hay-puente-este-1-de-mayo-2022-aqui-te-decimos-los-dias-de-descanso/,https://www.eluniversal.com.mx/metropoli/estas-son-las-marchas-y-concentraciones-previstas-para-este-1-de-mayo-en-la-cdmx-organizaciones-conmemoran-dia-del-trabajo/,"Varios eventos sucedieron este día, como el hecho de ser domingo, dia del trabajo, programa muevete en bici y diferentes tipos de manifestaciones en la ciudad"
ANOM-70,2022-11-27 0:00:00,linea 2,bellas artes,Alza (Pico atípico),21361,43489,Terminado,"Evento Masivo (Concierto, partido, manifestación)","Marcha ""4 años de transformación"" de Andres Manuel Lopez Obrador",https://www.adn40.mx/ciudad/marcha-amlo-por-la-transformacion-lmo/?outputType=amp,https://www.nmas.com.mx/ciudad-de-mexico/marcha-amlo-en-vivo-hoy-27-noviembre-cdmx/,La marcha llamo un aumento muy significativo en diversas lineas cercanas al centro de la CDMX y en diversos puntos de la ciudad
ANOM-13,2022-02-07 0:00:00,linea 2,cuatro caminos,Alza (Pico atípico),18627,38520,Terminado,Feriado No Oficial / Cultural,Alza en la afluencia por dia de conmemoración de la constitución mexicana,"https://www.milenio.com/cultura/7-de-febrero-2022-por-esta-razon-este-lunes-es-feriado#:~:text=Este%207%20de%20febrero%20lleg%C3%B3,oficina%20o%20cubrir%20alguna%20guardia.",https://www.nmas.com.mx/noticieros/programas/despierta/videos/el-metro-cdmx-tendra-horario-especial-7-febrero-2022-feriado-de-constitucion-mexicana/,"La alza de afluencia fue dado a que el día fue lunes y fue un feriado no oficial ""conmemoración de la constitución mexicana"""
ANOM-342,2025-12-21 0:00:00,linea 3,universidad,Alza (Pico atípico),17467,26358,Terminado,Falla Oculta (No hay reporte oficial del incidente),"no se reportaron incidencia a pesar de la alta en la afluencia, solo reportaron retraso en los trenes de la linea",https://www.tvazteca.com/aztecanoticias/metro-cdmx-en-vivo-avance-trenes-fallas-hoy-21-diciembre-2025/,https://www.reporteindigo.com/metro-cdmx-hoy-21-de-diciembre-de-2025-retrasos-estaciones-cerradas-afectaciones-y-afluencia-lb202512210005.html,
ANOM-140,2023-10-23 0:00:00,linea 1,insurgentes,Alza (Pico atípico),16899,40408,Terminado,"Evento Masivo (Concierto, partido, manifestación)",Inicio de Festividades de Día de Muertos ,https://lasillarota.com/metropoli/2023/10/23/dia-de-muertos-en-mexico-vas-ir-la-rodada-nocturna-de-disfraces-checa-estas-recomendaciones-453503.html,https://lasillarota.com/metropoli/2023/10/23/metro-metrobus-de-la-cdmx-hoy-lunes-23-de-octubre-de-2023-453446.html,"Festival de Flores de Cempasuchil en Paseo de la Reforma, esta estacion queda cerca de una estacion de metrobus"
ANOM-210,2024-06-29 0:00:00,linea 8,bellas artes,Alza (Pico atípico),16870,37965,Terminado,"Evento Masivo (Concierto, partido, manifestación)",permaneció cerrada y con servicio modificado debido a la marcha del orgullo,https://www.nmas.com.mx/ciudad-de-mexico/estaciones-cerradas-metro-metrobus-marcha-lgbt-cdmx-29-de-junio-2024/,,permaneció cerada debido a la marcha del orgullo
ANOM-174,2024-03-01 0:00:00,linea 8,san juan de letrán,Alza (Pico atípico),14704,39733,Terminado,Efecto Sustitución (Falla en Metrobús u otra línea o estación),Cierre de estación Zocalo y esta estacion fue alternativa ,https://www.tvazteca.com/aztecanoticias/metro-cdmx-en-vivo-que-pasa-hoy-viernes-1-marzo-2024,https://www.nmas.com.mx/ciudad-de-mexico/calles-cerradas-por-evento-zocalo-cdmx-hoy-1-de-marzo-2024-rutas-alternas/,Se cerro la estacion Zocalo por campaña de la presidenta por lo tanto esta estacion aledaña fue de ayuda como alternativa 
ANOM-35,2022-04-25 0:00:00,linea 5,pantitlán,Alza (Pico atípico),14193,72707,Terminado,Falla Oculta (No hay reporte oficial del incidente),No hay reporte de la alza de afluencia este día pero es bastante significativa,,,Alza de afluencia muy significativa pero sin registros oficiales de lo ocurrido
ANOM-225,2024-09-13 0:00:00,linea 9,pantitlán,Alza (Pico atípico),13673,40666,Terminado,Falla Oculta (No hay reporte oficial del incidente),no se reportaron incidentes ,,,
