ds,yhat,yhat_lower,yhat_upper,fecha,afluencia,zscore_robusto,anomalia_mad,det_prophet,det_mad,prioridad_auditoria,linea,estacion,impacto_pasajeros,direccion_anomalia
2022-01-17,8785.894469329543,7153.714949233353,10300.006560427662,2022-01-17,6940,,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-1846.0,Baja (Caída atípica)
2022-01-21,8752.335832559858,7115.644883182683,10213.591035872387,2022-01-21,6353,,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-2399.0,Baja (Caída atípica)
2022-01-22,7466.534123783689,5933.088626767626,9084.927497046065,2022-01-22,5621,,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-1846.0,Baja (Caída atípica)
2022-01-27,8647.761791525096,7076.876140048893,10317.95888762672,2022-01-27,6658,,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,-1990.0,Baja (Caída atípica)
2022-02-05,7511.60731015934,6067.922395918715,9036.413535055957,2022-02-05,8762,4.530541696926865,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,1250.0,Alza (Pico atípico)
2022-02-07,5866.511923701746,4302.811185119185,7532.168739164712,2022-02-07,5075,-4.070375990822949,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,-792.0,Baja (Caída atípica)
2022-02-16,9016.732255817524,7480.756743245731,10425.174500249292,2022-02-16,9893,14.725245941811696,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,876.0,Alza (Pico atípico)
2022-02-23,9094.94897233816,7643.193454508186,10639.049316364033,2022-02-23,9473,5.155198710631661,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,378.0,Alza (Pico atípico)
2022-02-27,5643.884921848349,4180.96885480251,7123.461861549704,2022-02-27,5028,241000000.0,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,-616.0,Baja (Caída atípica)
2022-03-06,5711.698714859398,3994.1776241800085,7155.733637831688,2022-03-06,5868,973000000.0,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,156.0,Alza (Pico atípico)
2022-03-15,9189.0294875362,7594.323063601494,10759.193323837833,2022-03-15,10106,4.755821107181022,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,917.0,Alza (Pico atípico)
2022-03-16,9327.79557643372,7819.776004708076,10785.33463119273,2022-03-16,10686,1234000000.0,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,1358.0,Alza (Pico atípico)
2022-03-22,9264.287134693048,7736.543898011935,10719.419797369206,2022-03-22,9801,3.9490772597448647,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,537.0,Alza (Pico atípico)
2022-03-25,9325.214019790099,7806.4078934076915,10993.263552641307,2022-03-25,10547,5.134726205901113,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,1222.0,Alza (Pico atípico)
2022-03-26,8045.575435292457,6519.227641944254,9449.08635935803,2022-03-26,8416,7.2661049255596755,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,370.0,Alza (Pico atípico)
2022-03-27,5915.369459359255,4311.872446778558,7371.27287567677,2022-03-27,5650,3.5398086295270317,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,-265.0,Baja (Caída atípica)
2022-04-01,9294.526279785385,7769.98612462466,10705.810077876791,2022-04-01,10709,5.637287946594589,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,1414.0,Alza (Pico atípico)
2022-04-02,8003.533300183461,6452.538913525107,9468.27670351415,2022-04-02,9025,7.279638963449655,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,1021.0,Alza (Pico atípico)
2022-04-07,9132.63219352291,7642.046533814673,10635.565562281097,2022-04-07,12255,43.5773926094673,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,3122.0,Alza (Pico atípico)
2022-04-08,9207.486439650938,7603.933803079247,10762.142041406147,2022-04-08,11100,3.9265738900962472,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,1893.0,Alza (Pico atípico)
2022-04-15,9145.22698991002,7688.698454886768,10747.862145316307,2022-04-15,3122,-9.056227636537754,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-6023.0,Baja (Caída atípica)
2022-04-16,7862.5782650039,6346.056293697694,9361.252645816168,2022-04-16,5530,-3.7724424986530547,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-2333.0,Baja (Caída atípica)
2022-04-21,9076.359099733625,7602.045879647887,10556.375649908665,2022-04-21,10353,11.426666832952883,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,1277.0,Alza (Pico atípico)
2022-05-01,3424.241964216706,1953.9631624258443,4871.557471099832,2022-05-01,5043,-0.8047901086829697,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,1619.0,Alza (Pico atípico)
2022-05-05,9283.457649643586,7795.324570460185,10820.631506626485,2022-05-05,11383,1477000000.0,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,2100.0,Alza (Pico atípico)
2022-05-06,9383.617700539284,7925.3881166506235,10811.077998597042,2022-05-06,11044,0.5488622810022881,False,True,False,ALTA (Solo Prophet),linea 1,balbuena,1660.0,Alza (Pico atípico)
2022-05-10,9370.150282053086,7919.304610033387,10909.752143950664,2022-05-10,7697,-5.783045758538375,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-1673.0,Baja (Caída atípica)
2022-05-11,9500.43173799384,7982.675782819532,11060.236600547109,2022-05-11,8822,-4.780208356688043,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,-678.0,Baja (Caída atípica)
2022-05-29,5915.663985420417,4449.82405440478,7470.614861750982,2022-05-29,6585,4.6187209716682345,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,669.0,Alza (Pico atípico)
2022-06-13,9189.863325306189,7728.852716031546,10710.52277538043,2022-06-13,9384,-344000000.0,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,194.0,Alza (Pico atípico)
2022-06-22,9169.118746378623,7590.333888477711,10679.095042910963,2022-06-22,9591,-5.291686562355527,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,422.0,Alza (Pico atípico)
2022-06-27,9056.990706982573,7437.897110639621,10565.469299926617,2022-06-27,9091,-504000000.0,True,False,True,MEDIA (Solo MAD),linea 1,balbuena,34.0,Alza (Pico atípico)
