ds,yhat,yhat_lower,yhat_upper,fecha,afluencia,zscore_robusto,anomalia_mad,det_prophet,det_mad,prioridad_auditoria,linea,estacion,impacto_pasajeros,direccion_anomalia
2022-05-17,15346.223981139672,11545.674912503886,19438.4557107201,2022-05-17,19923,5.320549452232215,True,True,True,CRÍTICA (Consenso),linea 1,cuauhtémoc,4577.0,Alza (Pico atípico)
2025-09-24,16686.286052827727,13553.247723154303,20245.244966563478,2025-09-24,21414,5.470869487224604,True,True,True,CRÍTICA (Consenso),linea 1,candelaria,4728.0,Alza (Pico atípico)
2025-12-22,22640.619500954665,19477.5303351963,25980.78139970336,2025-12-22,29775,7.765203254738722,True,True,True,CRÍTICA (Consenso),linea 1,candelaria,7134.0,Alza (Pico atípico)
2026-04-05,18849.51507200842,14667.887971904755,23348.685485507565,2026-04-05,23465,4.706817866260094,True,True,True,CRÍTICA (Consenso),linea 1,san lázaro,4615.0,Alza (Pico atípico)
2024-01-01,-3668.6340172627824,-10434.358500302871,3436.9119243338914,2024-01-01,5485,-5.30410183727941,True,True,True,CRÍTICA (Consenso),linea 1,merced,9154.0,Alza (Pico atípico)
2022-04-05,16918.209342111284,11345.078513973283,22358.253601981694,2022-04-05,24878,9.024840226443168,True,True,True,CRÍTICA (Consenso),linea 1,tacubaya,7960.0,Alza (Pico atípico)
2025-08-29,33112.37334192742,22825.358890575677,43517.66472316196,2025-08-29,44426,13.882476465748791,True,True,True,CRÍTICA (Consenso),linea 1,pino suárez,11314.0,Alza (Pico atípico)
2025-11-10,14728.06818042098,11006.76664821851,18324.29901530695,2025-11-10,18495,12.639106085124665,True,True,True,CRÍTICA (Consenso),linea 1,cuauhtémoc,3767.0,Alza (Pico atípico)
2025-06-28,28887.137240431224,18720.556063733125,38092.94798386072,2025-06-28,46438,7.974100034000204,True,True,True,CRÍTICA (Consenso),linea 1,insurgentes,17551.0,Alza (Pico atípico)
2025-09-17,19416.234627275906,15335.917573580504,23656.73850990381,2025-09-17,23885,18.71215899179423,True,True,True,CRÍTICA (Consenso),linea 1,san lázaro,4469.0,Alza (Pico atípico)
2025-04-21,21967.27374372582,18228.10196865144,25702.61394655112,2025-04-21,27294,8.256606718011152,True,True,True,CRÍTICA (Consenso),linea 1,san lázaro,5327.0,Alza (Pico atípico)
2023-11-27,12147.775636243241,8378.094035470096,16088.067654551105,2023-11-27,0,-4.06606804755544,True,True,True,CRÍTICA (Consenso),linea 1,cuauhtémoc,-12148.0,Baja (Caída atípica)
2022-07-16,10413.661810104662,7941.817105893602,12744.215559450693,2022-07-16,0,-9.10758028971081,True,True,True,CRÍTICA (Consenso),linea 1,boulevard puerto aéreo,-10414.0,Baja (Caída atípica)
2022-07-12,11884.662933237767,9235.592787873584,14215.566371672161,2022-07-12,0,-12.163932655142192,True,True,True,CRÍTICA (Consenso),linea 1,boulevard puerto aéreo,-11885.0,Baja (Caída atípica)
2022-07-14,14354.343211804935,11514.2362643215,17391.09003321205,2022-07-14,0,-10.006223703798518,True,True,True,CRÍTICA (Consenso),linea 1,salto del agua,-14354.0,Baja (Caída atípica)
2026-04-04,11719.796342999887,7939.594717829854,15264.042252328218,2026-04-04,7792,-13.537707970494392,True,True,True,CRÍTICA (Consenso),linea 1,cuauhtémoc,-3928.0,Baja (Caída atípica)
2022-07-28,30991.696114000813,25291.25389085476,36942.48035475081,2022-07-28,0,-18.62977443704904,True,True,True,CRÍTICA (Consenso),linea 1,pantitlán,-30992.0,Baja (Caída atípica)
2023-04-06,9044.818826574357,5488.168432978567,12838.341580546696,2023-04-06,5348,-16.102233004964145,True,True,True,CRÍTICA (Consenso),linea 1,cuauhtémoc,-3697.0,Baja (Caída atípica)
2023-11-19,25034.36302241605,16364.069544631653,33686.99908370779,2023-11-19,0,-6.820523149174201,True,True,True,CRÍTICA (Consenso),linea 1,observatorio,-25034.0,Baja (Caída atípica)
2022-07-12,8956.497995999069,7396.677985063196,10534.01815075185,2022-07-12,0,-81.4159692973783,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-8956.0,Baja (Caída atípica)
2026-04-03,16972.17179135382,13662.485648903901,20206.58690163506,2026-04-03,7152,-18.612159522205616,True,True,True,CRÍTICA (Consenso),linea 1,candelaria,-9820.0,Baja (Caída atípica)
2023-11-01,13619.075919712302,10581.65703194811,16718.151098291666,2023-11-01,8741,8741000000.0,True,True,True,CRÍTICA (Consenso),linea 1,moctezuma,-4878.0,Baja (Caída atípica)
2025-12-24,16603.950755094047,12235.693054643769,20764.837748897953,2025-12-24,9421,-5.2855548575390525,True,True,True,CRÍTICA (Consenso),linea 1,isabel la católica,-7183.0,Baja (Caída atípica)
2023-10-31,11092.24722502946,6767.714391977604,15451.235381519127,2023-10-31,6603,6603000000.0,True,True,True,CRÍTICA (Consenso),linea 1,san lázaro,-4489.0,Baja (Caída atípica)
2025-04-23,19640.776409314105,14245.460344257872,24863.789321196902,2025-04-23,6281,6281000000.0,True,True,True,CRÍTICA (Consenso),linea 1,sevilla,-13360.0,Baja (Caída atípica)
2025-04-17,19559.499797029417,16388.787439906875,22856.633077087215,2025-04-17,13822,-86.29590316523075,True,True,True,CRÍTICA (Consenso),linea 1,gómez farias,-5737.0,Baja (Caída atípica)
2025-04-18,16733.144201672294,14281.44166121865,19393.71580774328,2025-04-18,9206,-20.924601112000342,True,True,True,CRÍTICA (Consenso),linea 1,boulevard puerto aéreo,-7527.0,Baja (Caída atípica)
2023-11-16,16660.890972173613,11462.692232999147,22185.43571455774,2023-11-16,0,-9.15997322438689,True,True,True,CRÍTICA (Consenso),linea 1,tacubaya,-16661.0,Baja (Caída atípica)
2024-03-30,29043.491349296186,19063.304937950965,39367.19737436182,2024-03-30,16356,-85.4375030988183,True,True,True,CRÍTICA (Consenso),linea 1,pino suárez,-12687.0,Baja (Caída atípica)
2026-06-11,21242.511080850887,17154.49240416919,25679.806212591742,2026-06-11,14824,-6.2024022009312505,True,True,True,CRÍTICA (Consenso),linea 1,san lázaro,-6419.0,Baja (Caída atípica)
2026-06-11,21370.525570870308,18179.53024985125,24462.8188125847,2026-06-11,14386,-9.641821128864903,True,True,True,CRÍTICA (Consenso),linea 1,gómez farias,-6985.0,Baja (Caída atípica)
2022-06-19,16538.43218734373,13230.248974874203,19990.390945006187,2022-06-19,10963,-3.8999330993814323,True,True,True,CRÍTICA (Consenso),linea 1,gómez farías,-5575.0,Baja (Caída atípica)
2022-07-22,17948.08855741144,13636.366596840511,22047.470371945827,2022-07-22,0,-8.669563346708212,True,True,True,CRÍTICA (Consenso),linea 1,isabel la católica,-17948.0,Baja (Caída atípica)
2022-07-18,8969.571920714412,7382.77926091595,10520.93373307829,2022-07-18,0,-20.104247478169174,True,True,True,CRÍTICA (Consenso),linea 1,balbuena,-8970.0,Baja (Caída atípica)
2022-07-10,6630.188226588976,877.0095618867571,12010.436675561283,2022-07-10,0,-12.881058680580242,True,True,True,CRÍTICA (Consenso),linea 1,sevilla,-6630.0,Baja (Caída atípica)
2022-07-21,31192.285566601447,25434.54618054015,37158.02439852857,2022-07-21,0,-18.72864313644472,True,True,True,CRÍTICA (Consenso),linea 1,pantitlán,-31192.0,Baja (Caída atípica)
2026-04-03,22428.409822312926,19244.90804117225,25544.381075419486,2026-04-03,11706,-12858000000.0,True,True,True,CRÍTICA (Consenso),linea 1,gómez farias,-10722.0,Baja (Caída atípica)
2023-10-30,13331.885498087047,10295.571424467716,16473.18447023668,2023-10-30,9289,9289000000.0,True,True,True,CRÍTICA (Consenso),linea 1,moctezuma,-4043.0,Baja (Caída atípica)
2023-11-13,29710.322777261903,20460.001971236277,39099.50662705453,2023-11-13,0,-70.40398764074816,True,True,True,CRÍTICA (Consenso),linea 1,chapultepec,-29710.0,Baja (Caída atípica)
2022-07-12,14615.18935841025,11729.358411821777,17573.22674320667,2022-07-12,0,-10.971813886366148,True,True,True,CRÍTICA (Consenso),linea 1,salto del agua,-14615.0,Baja (Caída atípica)
2022-07-11,32450.64434481979,27957.206822696,37388.75940135651,2022-07-11,0,-36.48995005148949,True,True,True,CRÍTICA (Consenso),linea 1,zaragoza,-32451.0,Baja (Caída atípica)
2023-11-02,10029.462705803386,5887.024047265899,14169.852344896892,2023-11-02,4969,4969000000.0,True,True,True,CRÍTICA (Consenso),linea 1,san lázaro,-5060.0,Baja (Caída atípica)
2025-11-13,12174.215890985284,10525.639618938494,13812.055487404106,2025-11-13,13939,4.868531687904043,True,True,True,CRÍTICA (Consenso),linea 12,hospital 20 de noviembre,1765.0,Alza (Pico atípico)
2025-11-04,13461.934579929424,11512.351386708226,15415.888674780337,2025-11-04,15613,5.790606241158409,True,True,True,CRÍTICA (Consenso),linea 12,eje central,2151.0,Alza (Pico atípico)
2024-02-04,5500.0988983969455,3070.7620032028667,7901.982138572189,2024-02-04,9417,9417000000.0,True,True,True,CRÍTICA (Consenso),linea 12,zapotitlán,3917.0,Alza (Pico atípico)
2024-02-11,5990.592237769382,3455.6237178164547,8413.18268198845,2024-02-11,10905,10905000000.0,True,True,True,CRÍTICA (Consenso),linea 12,zapotitlán,4914.0,Alza (Pico atípico)
2025-04-02,12993.439568952075,11258.225491648132,14589.706959572739,2025-04-02,14645,9.491048315434076,True,True,True,CRÍTICA (Consenso),linea 12,zapata,1652.0,Alza (Pico atípico)
2023-01-22,2088.7752449834743,416.26845005086636,3653.3450194078655,2023-01-22,3789,3789000000.0,True,True,True,CRÍTICA (Consenso),linea 12,zapata,1700.0,Alza (Pico atípico)
2025-02-24,4873.844767053871,4134.561794148992,5633.045678336832,2025-02-24,5940,4.754992054582773,True,True,True,CRÍTICA (Consenso),linea 12,tlaltenco,1066.0,Alza (Pico atípico)
2025-04-19,10820.675455973624,9067.113168937267,12464.781148777587,2025-04-19,7273,-10.25935941642539,True,True,True,CRÍTICA (Consenso),linea 12,zapata,-3548.0,Baja (Caída atípica)
2024-01-29,9761.81033550399,7386.904706171461,12384.604978903682,2024-01-29,1,1000000.0,True,True,True,CRÍTICA (Consenso),linea 12,zapotitlán,-9761.0,Baja (Caída atípica)
2026-06-24,9158.246736381969,7337.866955991707,10990.288148642587,2026-06-24,6569,-12.016413005699732,True,True,True,CRÍTICA (Consenso),linea 12,ermita,-2589.0,Baja (Caída atípica)
2024-03-29,9314.560662373357,7232.255706778137,11669.09439651789,2024-03-29,4284,-47.08558645692711,True,True,True,CRÍTICA (Consenso),linea 12,san andrés tomatlán,-5031.0,Baja (Caída atípica)
2023-03-12,19633.53033823172,14961.617070575006,24310.805501545976,2023-03-12,13630,-8.236962827005765,True,True,True,CRÍTICA (Consenso),linea 12,atlalilco,-6004.0,Baja (Caída atípica)
2024-12-31,18327.046380482196,14937.846048993872,22010.270412646598,2024-12-31,13401,-17.545061134711244,True,True,True,CRÍTICA (Consenso),linea 12,tezonco,-4926.0,Baja (Caída atípica)
